time_s,axial_node,x_m,truth,without_da,with_da
285,36,0.27375,20.88494055,20.58996047,20.81585232
290,4,0.03375,35.29552657,30.19701587,35.12548026
290,16,0.12375,27.62012085,25.0800812,27.63526519
290,28,0.21375,22.97884173,21.98589477,22.79404446
290,36,0.27375,20.9083387,20.60555923,20.840122
295,4,0.03375,35.45099431,30.30066102,35.29504127
295,16,0.12375,27.74509157,25.16339501,27.68666439
295,28,0.21375,23.04711274,22.03140877,22.84617053
295,36,0.27375,20.9316041,20.6210695,20.86337417
300,4,0.03375,35.60492214,30.40327957,35.50291897
300,16,0.12375,27.86898832,25.24599284,27.90659298
300,28,0.21375,23.11492586,22.07661752,22.92476357
300,36,0.27375,20.9547319,20.63648803,20.88689454
305,4,0.03375,35.75734011,30.50489155,35.64355992
305,16,0.12375,27.99181692,25.32787856,27.9463667
305,28,0.21375,23.1822731,22.12151568,22.97629123
305,36,0.27375,20.97771778,20.65181195,20.90914075
310,4,0.03375,35.90826731,30.60550968,35.82806653
310,16,0.12375,28.11358345,25.40905625,28.04352187
310,28,0.21375,23.24914747,22.16609859,23.03082765
310,36,0.27375,21.00055789,20.66703869,20.93052231
315,4,0.03375,36.05773043,30.70515175,35.92665986
315,16,0.12375,28.23429422,25.48953009,28.34375685
315,28,0.21375,23.31554292,22.21036222,23.12963586
315,36,0.27375,21.0232488,20.68216596,20.95358068
320,4,0.03375,36.20574772,30.80382994,36.00259818
320,16,0.12375,28.35395573,25.56930443,28.32571761
320,28,0.21375,23.38145425,22.25430311,23.18040926
320,36,0.27375,21.0457875,20.69719176,20.97568935
325,4,0.03375,36.35234313,30.90156021,36.20217615
325,16,0.12375,28.47257466,25.64838371,28.44738234
325,28,0.21375,23.44687705,22.2979183,23.24290219
325,36,0.27375,21.06817133,20.71211432,20.99775929
330,4,0.03375,36.49753406,30.99835415,36.26219809
330,16,0.12375,28.59015784,25.72677249,28.59361289
330,28,0.21375,23.51180763,22.34120536,23.31594314
330,36,0.27375,21.09039797,20.72693207,21.02018008
335,4,0.03375,36.64134219,31.09422624,36.4283135
335,16,0.12375,28.70671223,25.80447542,28.73037674
335,28,0.21375,23.57624297,22.38416225,23.38640075
335,36,0.27375,21.11246541,20.7416437,21.04279612
340,4,0.03375,36.78378409,31.1891875,36.57329068
340,16,0.12375,28.82224493,25.88149721,28.89976235
340,28,0.21375,23.64018065,22.42678737,23.46470531
340,36,0.27375,21.13437193,20.75624804,21.06607351
345,4,0.03375,36.92487956,31.28325115,36.72658296
345,16,0.12375,28.93676314,25.95784268,28.92068337
345,28,0.21375,23.70361881,22.46907947,23.51499215
345,36,0.27375,21.15611605,20.77074413,21.0884181
350,4,0.03375,37.06464437,31.37642767,36.9499683
350,16,0.12375,29.05027413,26.03351667,28.98877366
350,28,0.21375,23.7665561,22.51103766,23.56207005
350,36,0.27375,21.17769657,20.78513114,21.10964328
355,4,0.03375,37.20309675,31.46872926,37.05343845
355,16,0.12375,29.16278527,26.10852409,29.22809507
355,28,0.21375,23.82899162,22.55266134,23.64476166
355,36,0.27375,21.19911247,20.79940841,21.13164034
360,4,0.03375,37.3402517,31.56016589,37.10241044
360,16,0.12375,29.27430398,26.1828699,29.28358594
360,28,0.21375,23.89092494,22.59395022,23.70444864
360,36,0.27375,21.22036296,20.81357539,21.15315403
365,4,0.03375,37.47612616,31.65074886,37.32844326
365,16,0.12375,29.38483775,26.25655907,29.42391316
365,28,0.21375,23.95235598,22.63490424,23.76970047
365,36,0.27375,21.2414474,20.82763169,21.17475338
370,4,0.03375,37.6107344,31.74048768,37.3940074
370,16,0.12375,29.49439411,26.32959664,29.42843331
370,28,0.21375,24.01328503,22.67552361,23.81382352
370,36,0.27375,21.26236537,20.841577,21.19522193
375,4,0.03375,37.74409225,31.82939291,37.61155574
375,16,0.12375,29.60298061,26.40198764,29.61779611
375,28,0.21375,24.07371271,22.71580873,23.88161749
375,36,0.27375,21.28311656,20.85541113,21.21592706
380,4,0.03375,37.87621332,31.91747362,37.72993155
380,16,0.12375,29.71060485,26.47373713,29.72796595
380,28,0.21375,24.13363995,22.75576022,23.9424773
380,36,0.27375,21.30370082,20.86913397,21.23639315
385,4,0.03375,38.0071125,32.00473973,37.81558236
385,16,0.12375,29.81727444,26.54485019,29.82887075
385,28,0.21375,24.19306791,22.79537886,24.00345249
385,36,0.27375,21.32411814,20.88274551,21.25681565
390,4,0.03375,38.13680278,32.09119992,37.99624007
390,16,0.12375,29.922997,26.61533189,29.88733679
390,28,0.21375,24.25199806,22.83466562,24.05124315
390,36,0.27375,21.34436861,20.89624583,21.27647591
395,4,0.03375,38.26529825,32.17686356,38.20031575
395,16,0.12375,30.02778015,26.68518732,30.05143952
395,28,0.21375,24.31043203,22.8736216,24.11380515
395,36,0.27375,21.36445243,20.90963504,21.29624809
400,4,0.03375,38.39261134,32.26173895,38.17585816
400,16,0.12375,30.13163152,26.75442157,30.16448784
400,28,0.21375,24.3683717,22.91224804,24.18043833
400,36,0.27375,21.38436992,20.92291337,21.31633136
405,4,0.03375,38.51875544,32.34583501,38.31107353
405,16,0.12375,30.23455875,26.82303971,30.27390177
405,28,0.21375,24.42581911,22.95054631,24.24333002
405,36,0.27375,21.40412147,20.93608106,21.3366191
410,4,0.03375,38.64374246,32.42915969,38.545471
410,16,0.12375,30.33656943,26.89104683,30.29560265
410,28,0.21375,24.48277649,22.9885179,24.28191168
410,36,0.27375,21.42370755,20.94913845,21.35577051
415,4,0.03375,38.76758517,32.51172149,38.6579825
415,16,0.12375,30.43767117,26.95844799,30.45827008
415,28,0.21375,24.5392462,23.02616437,24.34519996
415,36,0.27375,21.44312872,20.96208589,21.37516925
420,4,0.03375,38.89029504,32.59352807,38.77081288
420,16,0.12375,30.53787155,27.02524824,30.63273571
420,28,0.21375,24.59523075,23.0634874,24.41711326
420,36,0.27375,21.46238559,20.97492381,21.39517919
425,4,0.03375,39.01188428,32.67458756,38.84614945
425,16,0.12375,30.63717812,27.09145262,30.59951174
425,28,0.21375,24.65073277,23.10048875,24.45375962
425,36,0.27375,21.48147886,20.98765265,21.41395137
430,4,0.03375,39.13236394,32.75490733,38.93431602
430,16,0.12375,30.73559841,27.15706614,30.69483748
430,28,0.21375,24.705755,23.13717023,24.50581759
430,36,0.27375,21.50040925,21.00027291,21.4324785
435,4,0.03375,39.25174576,32.8344952,39.08960401
435,16,0.12375,30.83313994,27.22209382,30.85017681
435,28,0.21375,24.76030029,23.17353376,24.56787946
435,36,0.27375,21.51917755,21.01278512,21.45119405
440,4,0.03375,39.37004038,32.91335828,39.22369668
440,16,0.12375,30.92981016,27.28654063,30.97119558
440,28,0.21375,24.81437155,23.20958127,24.62748461
440,36,0.27375,21.53778461,21.02518982,21.4700413
445,4,0.03375,39.48725914,32.99150411,39.32647707
445,16,0.12375,31.02561652,27.35041154,31.09827746
445,28,0.21375,24.86797182,23.24531477,24.69086394
445,36,0.27375,21.55623128,21.0374876,21.48932484
450,4,0.03375,39.60341231,33.06893956,39.42476052
450,16,0.12375,31.12056641,27.41371146,31.25658843
450,28,0.21375,24.92110415,23.28073633,24.76318651
450,36,0.27375,21.5745185,21.04967908,21.50956206
455,4,0.03375,39.42395287,32.94929993,39.34256872
455,16,0.12375,31.21437574,27.47625102,31.1715705
455,28,0.21375,24.97377134,23.31584778,24.78861373
455,36,0.27375,21.59264718,21.06176487,21.52804832
460,4,0.03375,38.85388387,32.56925393,38.75229121
460,16,0.12375,31.3049956,27.53666425,31.32909258
460,28,0.21375,25.02597273,23.35064871,24.86118088
460,36,0.27375,21.61061826,21.07374558,21.54748748
465,4,0.03375,38.35088564,32.23392178,38.30933039
465,16,0.12375,31.38655172,27.59103499,31.42226413
465,28,0.21375,25.07768631,23.38512443,24.92969655
465,36,0.27375,21.62843226,21.08562158,21.56741656
470,4,0.03375,37.94480028,31.96319821,37.94898246
470,16,0.12375,31.45066783,27.63377906,31.44703427
470,28,0.21375,25.12881862,23.41921264,24.98832822
470,36,0.27375,21.64608787,21.09739199,21.5875109
475,4,0.03375,37.53980647,31.69320233,37.49308547
475,16,0.12375,31.49200281,27.66133571,31.41628343
475,28,0.21375,25.17911972,23.4527467,25.04034153
475,36,0.27375,21.66357721,21.10905155,21.60740796
